edge_mode	model	subset	metric	mean	stddev
non_edge	BRISKNet	all_pixels_malignant	curve_corr	0.9937916661731041	0.0032656462775880603
non_edge	BRISKNet	all_pixels_malignant	curve_mae	1.4044257601102192	0.6870902372370159
non_edge	BRISKNet	all_pixels_malignant	early_corr	0.9867798091464439	0.009696826479883236
non_edge	BRISKNet	all_pixels_malignant	early_mae	1.5986121694246929	0.7936078153676134
non_edge	BRISKNet	all_pixels_malignant	ttae_sec	2.9500616313647	1.4620612437173828
non_edge	BRISKNet	all_pixels_malignant	wash_in_slope_err	0.01982711649817914	0.012486617423280702
non_edge	BRISKNet	all_pixels_malignant	iauc10_err	13.936543641835971	6.471803337499785
non_edge	BRISKNet	all_pixels_malignant	peak_err	2.2933046499888103	1.117276249308129
non_edge	BRISKNet	all_pixels_malignant	ttpeak_err_sec	11.611795009669297	5.5723665863443195
non_edge	BRISKNet	all_pixels_benign	curve_corr	0.9853515649285256	0.008543051706526202
non_edge	BRISKNet	all_pixels_benign	curve_mae	0.8153569281101227	0.44343011505852475
non_edge	BRISKNet	all_pixels_benign	early_corr	0.9793311890266784	0.015528206521500203
non_edge	BRISKNet	all_pixels_benign	early_mae	0.8897124201059341	0.5185285645199198
non_edge	BRISKNet	all_pixels_benign	ttae_sec	5.3605487918193715	4.045206460753771
non_edge	BRISKNet	all_pixels_benign	wash_in_slope_err	0.010484828038324612	0.008534998876719088
non_edge	BRISKNet	all_pixels_benign	iauc10_err	6.699877545710959	2.75485014689567
non_edge	BRISKNet	all_pixels_benign	peak_err	1.6489064037799834	0.9932273103643676
non_edge	BRISKNet	all_pixels_benign	ttpeak_err_sec	11.755896951560661	4.0370509146977
non_edge	BRISKNet	top20_malignant	curve_corr	0.9953971726348219	0.0030444264903807293
non_edge	BRISKNet	top20_malignant	curve_mae	1.8667858123779297	0.8465557486990103
non_edge	BRISKNet	top20_malignant	early_corr	0.9878491082025253	0.009778161379861462
non_edge	BRISKNet	top20_malignant	early_mae	2.091294825077057	1.0006318798806466
non_edge	BRISKNet	top20_malignant	ttae_sec	3.349538765369626	1.6639299224870658
non_edge	BRISKNet	top20_malignant	wash_in_slope_err	0.030845196289480258	0.03511465341931517
non_edge	BRISKNet	top20_malignant	iauc10_err	19.67583924055579	8.782561741644736
non_edge	BRISKNet	top20_malignant	peak_err	3.1878750483194986	1.3630948299357197
non_edge	BRISKNet	top20_malignant	ttpeak_err_sec	12.960371404375707	5.643381560921377
non_edge	BRISKNet	top20_benign	curve_corr	0.9895121889801418	0.00523577700548959
non_edge	BRISKNet	top20_benign	curve_mae	1.09559323489666	0.5976044988511006
non_edge	BRISKNet	top20_benign	early_corr	0.9878788411533799	0.009697407370800064
non_edge	BRISKNet	top20_benign	early_mae	1.1382995218038559	0.6985241826149682
non_edge	BRISKNet	top20_benign	ttae_sec	4.682202881152461	3.461279381398169
non_edge	BRISKNet	top20_benign	wash_in_slope_err	0.01475342584118405	0.012900279304945346
non_edge	BRISKNet	top20_benign	iauc10_err	9.829816568098146	3.9859400690805877
non_edge	BRISKNet	top20_benign	peak_err	2.286450171470642	1.2893251618177817
non_edge	BRISKNet	top20_benign	ttpeak_err_sec	13.216266506602645	6.3634335491385166
non_edge	BRISKNet	top10_malignant	curve_corr	0.9947686542505647	0.0034381467608719444
non_edge	BRISKNet	top10_malignant	curve_mae	2.004728150367737	0.8952748491358984
non_edge	BRISKNet	top10_malignant	early_corr	0.9871046421745981	0.010780743962861309
non_edge	BRISKNet	top10_malignant	early_mae	2.2266409198443093	1.0648527846528666
non_edge	BRISKNet	top10_malignant	ttae_sec	3.7186614329691334	1.6459725951337876
non_edge	BRISKNet	top10_malignant	wash_in_slope_err	0.036973561334213895	0.05296481405530819
non_edge	BRISKNet	top10_malignant	iauc10_err	21.261902045656587	8.973846133312584
non_edge	BRISKNet	top10_malignant	peak_err	3.444085637728373	1.4860320220285335
non_edge	BRISKNet	top10_malignant	ttpeak_err_sec	12.56787935806404	5.26778051052478
non_edge	BRISKNet	top10_benign	curve_corr	0.9897720807956324	0.005564237940039555
non_edge	BRISKNet	top10_benign	curve_mae	1.147372406721115	0.626114839042783
non_edge	BRISKNet	top10_benign	early_corr	0.988888756848044	0.008776151474826147
non_edge	BRISKNet	top10_benign	early_mae	1.1983986109495164	0.7388352498701304
non_edge	BRISKNet	top10_benign	ttae_sec	4.523809523809524	3.937579859176484
non_edge	BRISKNet	top10_benign	wash_in_slope_err	0.014700353046389114	0.013572549475853313
non_edge	BRISKNet	top10_benign	iauc10_err	10.153777380074771	4.6123535371760385
non_edge	BRISKNet	top10_benign	peak_err	2.3792492032051085	1.337280702384694
non_edge	BRISKNet	top10_benign	ttpeak_err_sec	12.482142857142861	5.825097441595433
non_edge	GRASP	all_pixels_malignant	curve_corr	0.9954432014187156	0.003432795673526029
non_edge	GRASP	all_pixels_malignant	curve_mae	1.2145158727963765	0.6554044593809879
non_edge	GRASP	all_pixels_malignant	early_corr	0.9777329989139083	0.013100610634100741
non_edge	GRASP	all_pixels_malignant	early_mae	1.3475276033083599	0.7153949881279065
non_edge	GRASP	all_pixels_malignant	ttae_sec	2.078649629956499	1.4202714920637058
