comparison_group,comparison,method_a,method_b,exp_a,exp_b,spf,log_source_a,log_source_b,metric_family,metric,p_adj_bh,n_valid,n_nan,mean_a,mean_b,mean_diff,ci_low,ci_high,W_stat,p_raw,effect_r,direction
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_4spf_sampling_no_rebin_fop,GRASP,4,test_inference_logs_mri_journal_revised.json,—,temporal,ttae_sec,0.020751953125,15,10,3.0176831333333336,1.9279575999999996,1.089725533333334,0.25487262066186167,1.924578446004805,17.0,0.012451171875,0.8583333333333334,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_4spf_sampling_no_rebin_fop,GRASP,4,test_inference_logs_mri_journal_revised.json,—,temporal,wash_in_slope_err,0.1975150730298913,15,10,0.0190476,0.02027333333333333,-0.0012257333333333294,-0.0027279898988782428,0.00027652323221157645,34.0,0.15142822265625,0.7166666666666667,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_4spf_sampling_no_rebin_fop,GRASP,4,test_inference_logs_mri_journal_revised.json,—,mc,dc_mae,1.0927518208821615e-07,25,0,0.59220488,0.60850772,-0.01630283999999993,-0.019074889701937027,-0.013530790298062964,0.0,5.960464477539063e-08,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_4spf_sampling_no_rebin_fop,GRASP,4,test_inference_logs_mri_journal_revised.json,—,mc,ssdu_nmse,2.384185791015625e-07,23,2,0.35972630434782615,0.5192562173913045,-0.1595299130434783,-0.16894350150831186,-0.15011632457864468,0.0,2.384185791015625e-07,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,spatial,ssim,3.2186508178710933e-06,25,0,0.91841324,0.9281067199999999,-0.009693479999999921,-0.01276107960055876,-0.006625880399441241,9.0,1.9669532775878906e-06,0.9723076923076923,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,spatial,psnr,1.1920928955078125e-07,25,0,30.16597952,30.69241512,-0.5264355999999992,-0.6090067601441862,-0.44386443985581253,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,spatial,lpips,1.1920928955078125e-07,25,0,0.05249264,0.0323336,0.020159040000000003,0.017418504647301023,0.022899575352698976,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,early_corr,0.053009033203125,15,10,0.9865469333333333,0.9790336666666667,0.007513266666666629,0.00015349921835007205,0.014873034114983232,23.0,0.03533935546875,0.8083333333333333,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,early_mae,0.0004069010416666667,15,10,1.6366159999999996,1.3933567333333332,0.24325926666666642,0.1409063254194698,0.34561220791386355,1.0,0.0001220703125,0.9916666666666667,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,iauc10_err,0.0004069010416666667,15,10,13.940928533333333,9.166627,4.7743015333333325,2.6670602288281624,6.881542837838502,1.0,0.0001220703125,0.9916666666666667,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,ttae_sec,0.008544921875,15,10,2.952068266666666,2.0786497333333336,0.8734185333333326,0.3117953692094313,1.4350416974572353,12.0,0.0042724609375,0.9,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,wash_in_slope_err,0.11352539062500001,15,10,0.019834133333333333,0.02138886666666667,-0.0015547333333333357,-0.005966998900031977,0.002857532233365308,29.0,0.083251953125,0.7583333333333333,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,mc,dc_mae,1.0927518208821615e-07,25,0,0.60573356,0.61164936,-0.005915800000000027,-0.00706654483225892,-0.004765055167741071,0.0,5.960464477539063e-08,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_8spf_sampling_arrshift_fop,GRASP,8,test_inference_logs_mri_journal_revised.json,—,mc,ssdu_nmse,2.384185791015625e-07,23,2,0.3982635652173913,0.49372773913043483,-0.09546417391304352,-0.1014043385046208,-0.08952400932146615,0.0,2.384185791015625e-07,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,spatial,ssim,0.936802864074707,25,0,0.92980428,0.92874872,0.0010555600000000664,-0.0014769819406005372,0.003588101940600519,159.0,0.936802864074707,0.5107692307692308,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,spatial,psnr,1.1920928955078125e-07,25,0,30.43603936,30.662048079999998,-0.22600871999999939,-0.27284703611815775,-0.17917040388184302,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,spatial,lpips,0.02108779549598694,25,0,0.03331928,0.031474760000000004,0.0018445199999999953,0.0002108491836302856,0.003478190816369715,76.0,0.018744707107543945,0.7661538461538462,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,temporal,early_corr,0.008544921875,15,10,0.9895747999999999,0.9813081333333333,0.008266666666666533,0.0017536625577187622,0.014779670775614599,12.0,0.0042724609375,0.9,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,temporal,early_mae,0.0054931640625,15,10,1.5774813333333335,1.4655056666666666,0.11197566666666692,0.03858611753627833,0.18536521579705498,9.0,0.00201416015625,0.925,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,temporal,iauc10_err,0.008544921875,15,10,13.195815666666666,10.391459133333335,2.8043565333333316,0.8831783689421941,4.725534697724471,12.0,0.0042724609375,0.9,b_better
